"bush_02022005" "bush_02032001" "bush_03022003" "bush_20012004" "bush_23012007" "bush_24092001" "bush_28012003" "bush_28012008" "bush_31012008" "obama_08092011" "obama_09092009" "obama_12012016" "obama_12022013" "obama_20012015" "obama_24012012" "obama_24022009" "obama_25012011" "obama_27012010" "obama_28012014"
"the" 5.15865291025891 3.86803185437998 5.45084996304509 5.51016530495915 5.90438815554763 4.611886976291 5.56776556776557 5.36358947911295 5.14445479962721 3.86615419398598 3.95604395604396 4.49863677673432 4.14954262229882 3.83328686925007 3.90967741935484 4.22127400182871 4.78869553840115 4.34945164506481 3.87300750889211
"and" 4.45785477905392 3.93629124004551 4.39763488543976 4.71214136424093 4.90545843738851 4.64436505358883 4.43223443223443 4.43527591542032 4.82758620689655 4.06963599366946 3.51648351648352 3.57467434110875 4.17605727164258 3.9448006690828 3.40645161290323 3.94696738799147 3.91207640978673 3.71385842472582 3.8334870241075
"to" 3.28985789371228 3.8452787258248 3.36289726533629 3.21109633288999 3.94220478059222 3.41019811627152 3.31501831501832 3.24909747292419 3.2618825722274 3.300926972643 2.78951817413356 3.22629506210239 3.14198594723585 3.45692779481461 3.00645161290323 3.15452605912831 2.94387020803349 3.05333998005982 3.543670135687
"of" 3.42612419700214 2.22980659840728 3.47376201034738 3.49610488314649 2.99678915447735 4.09223773952582 3.51648351648352 3.00842358604091 3.48555452003728 1.89916346371241 2.67117497886729 2.51438957891548 2.45260506429802 2.28603289657095 2.3741935483871 2.74306613837245 2.7476121941646 2.31804586241276 2.17362666315373
"a" 1.73252871325676 2.52559726962457 2.10643015521064 1.63404902147064 1.9621833749554 1.6239038648912 2.01465201465201 1.92539109506619 2.10624417520969 1.87655437485869 1.52155536770921 1.84792487125114 1.98859870078218 2.18845832171731 2.19354838709677 2.13349588540079 1.93641240350648 1.59521435692921 1.83111579502042
"in" 1.96612809032509 1.54721274175199 2.03252032520325 2.01406042181265 2.40813414199072 1.68886001948685 1.996336996337 2.35516589307203 2.57222739981361 1.51480895319919 1.36939983093829 1.65101484398667 1.49807768792258 1.54725397267912 1.41935483870968 1.64583968302347 1.58314797854246 1.30857427716849 1.54129890659992
"we" 1.53786256569982 2.29806598407281 1.51515151515152 1.34904047121414 1.65893685337139 1.6239038648912 1.61172161172161 1.87381811930548 1.9757688723206 1.74089984173638 1.0312764158918 1.87821872159952 1.73670953201644 2.17451909673822 1.08387096774194 1.78299298994209 1.94949627109774 1.74476570289133 1.29100250296404
"our" 1.53786256569982 1.95676905574516 1.36733185513673 1.59604788143644 1.3913663931502 1.72133809678467 1.35531135531136 1.97696407082689 2.01304753028891 1.0626271761248 0.760777683854607 1.45410481672221 1.9753413761103 1.5751324226373 1.08387096774194 1.78299298994209 1.59623184613372 1.49551345962114 1.54129890659992
"that" 1.45999610667705 0.659840728100114 1.18255728011826 1.00703021090633 1.15947199429183 0.779473855147775 1.15384615384615 1.25494241017707 1.23019571295433 1.71829075288266 2.23161453930685 1.89336564677371 1.65716558398515 1.7424031223864 1.85806451612903 2.28588844864371 1.54389637576868 1.83200398803589 1.38321696746147
"is" 1.34319641814289 1.31968145620023 1.36733185513673 1.27303819114573 1.30217623974313 1.29912309191296 1.41025641025641 1.18617844249613 1.17427772600186 0.633054487904137 1.0312764158918 1.09057861254165 0.742410181625348 0.710900473933649 0.761290322580645 1.17342273697044 0.850451393431898 0.548354935194417 0.869450665261494
"for" 1.10959704107456 1.11490329920364 1.03473762010347 1.06403192095763 0.945415626114877 0.941864241636895 1.00732600732601 0.911122571772391 0.59645852749301 1.46959077549175 1.21724429416737 0.893668585277189 0.821954129656635 0.878171173682743 0.812903225806452 1.26485827491618 0.798115923066859 1.08424725822532 0.974838624687129
"will" 1.14853027058595 1.09215017064846 0.97930524759793 0.817024510735322 0.552978951123796 1.68886001948685 0.970695970695971 0.911122571772391 1.11835973904939 1.08523626497852 1.08199492814877 0.393820054528931 0.729152856953467 0.487872874268191 0.735483870967742 1.29533678756477 0.758864320293079 0.747756729810568 0.553286786984587
"this" 0.369865680358186 0.455062571103527 0.794530672579453 0.760022800684021 1.14163396361042 0.876908087041247 0.824175824175824 0.842358604091456 0.59645852749301 1.40176350893059 1.13271344040575 0.636170857315965 0.596579610234655 0.878171173682743 0.670967741935484 1.14294422432185 0.719612717519299 0.760219341974078 0.685021736266632
"i" 0.642398286937901 0.955631399317406 0.57280118255728 0.608018240547216 0.570816981805209 0.746995777849951 0.604395604395604 0.550111741447482 0.559179869524697 0.587836310196699 0.828402366863905 0.787640109057861 0.43749171417208 0.878171173682743 0.645161290322581 1.11246571167327 0.654193379562999 0.959621136590229 0.671848241338427
"have" 0.720264745960677 0.68259385665529 0.776053215077605 0.646019380581417 0.695683196575098 0.909386164339071 0.824175824175824 0.687639676809352 0.633737185461323 0.904363554148768 0.777683854606932 0.575583156619206 0.54355031154713 0.655143574017285 0.412903225806452 0.579091740323072 0.614941776789219 0.660518444666002 0.579633776840996
"are" 0.934397508273311 0.455062571103527 0.628233555062823 1.12103363100893 0.749197288619336 1.00682039623254 0.695970695970696 0.807976620250988 0.671015843429636 0.791318109880172 0.743871513102282 0.4392608300515 0.517035662203367 0.710900473933649 0.425806451612903 0.563852483998781 0.562606306424179 0.722831505483549 0.35568436306152
"on" 0.700798131204983 0.477815699658703 0.480413895048041 0.646019380581417 0.856225472707813 0.682039623254303 0.457875457875458 0.790785628330755 0.447343895619758 0.542618132489261 0.659340659340659 0.666464707664344 0.676123558265942 0.529690549205464 0.670967741935484 0.54861322767449 0.457935365694099 0.872382851445663 0.737715715979449
"it" 0.38933229511388 0.68259385665529 0.424981522542498 0.304009120273608 0.428112736353907 0.844430009743423 0.457875457875458 0.378201822245144 0.447343895619758 1.0626271761248 1.04818258664413 0.923962435625568 0.583322285562773 0.696961248954558 0.619354838709677 0.838159097836026 0.601857909197959 0.735294117647059 0.500592807271769
"with" 0.681331516449289 0.637087599544937 0.498891352549889 0.551016530495915 0.767035319300749 0.552127314063008 0.494505494505495 0.618875709128417 0.540540540540541 0.474790865928103 0.422654268808115 0.40896697970312 0.649608908922179 0.641204349038193 0.632258064516129 0.365742151782993 0.915870731388198 0.386340977068794 0.71136872612304
"not" 0.545065213159432 0.614334470989761 0.776053215077605 0.38001140034201 0.481626828398145 1.20168886001949 0.787545787545788 0.343819838404676 0.484622553588071 0.429572688220665 0.676246830092984 0.605877006967586 0.265146493437624 0.292723724560914 0.348387096774194 0.624809509295946 0.431767630511579 0.411266201395813 0.513766302199974
"more" 0.428265524625268 0.523321956769056 0.40650406504065 0.323009690290709 0.392436674991081 0.194868463786944 0.402930402930403 0.378201822245144 0.447343895619758 0.452181777074384 0.473372781065089 0.348379279006362 0.54355031154713 0.571508224142738 0.554838709677419 0.457177689728741 0.444851498102839 0.535892323030907 0.856277170333289
"their" 0.467198754136656 0.409556313993174 0.351071692535107 0.570017100513015 0.570816981805209 0.552127314063008 0.366300366300366 0.842358604091456 0.391425908667288 0.655663576757857 0.557903634826712 0.40896697970312 0.410977064828318 0.334541399498188 0.4 0.426699177080158 0.444851498102839 0.436191425722831 0.47424581741536
